Predicate ID,Triple,Sentence ID,Sentence,Is Correct,Question,Answer
24413653,Fenbendazole treats helminthiasis,1001,"This study investigated worm control practices by free-range egg farmers and the efficacy of the commercial anthelmintics levamisole (LEV), piperazine (PIP), flubendazole (FLBZ) and fenbendazole (FBZ) against gastrointestinal nematodes on two free-range layer farms in Australia.",True,"Is the triple 'Fenbendazole treats helminthiasis' supported by the sentence: 'This study investigated worm control practices by free-range egg farmers and the efficacy of the commercial anthelmintics levamisole (LEV), piperazine (PIP), flubendazole (FLBZ) and fenbendazole (FBZ) against gastrointestinal nematodes on two free-range layer farms in Australia.'?","Yes, the statement ""Fenbendazole treats helminthiasis"" is at least indirectly supported by the provided sentence, as it mentions that a study was conducted to investigate the efficacy of fenbendazole (FBZ) against gastrointestinal nematodes, which is a type of helminthiasis (parasitic worm infection). However, it's important to note that this is an indirect inference, as the provided sentence does not directly state that fenbendazole is effective in treating helminthiasis."
9783282,Thiabendazole treats helminthiasis,1002,[The treatment of helminthiasis with thiabendazole].,True,Is the triple 'Thiabendazole treats helminthiasis' supported by the sentence: '[The treatment of helminthiasis with thiabendazole].'?,"Yes, it is directly supported, as thiabendazole is mentioned as a treatment for helminthiasis in both statements."
22678969,Albendazole treats Infection,1003,The control of STH infections is based on preventive chemotherapy using either albendazole or mebendazole.,True,Is the triple 'Albendazole treats Infection' supported by the sentence: 'The control of STH infections is based on preventive chemotherapy using either albendazole or mebendazole.'?,"Yes, it is indirectly supported because both albendazole and mebendazole are used for preventive chemotherapy to control Soil-transmitted Helminthiasis (STH) infections, implying that albendazole can treat such infections as part of this treatment strategy."
10750815,Albendazole treats onchocerciasis,1004,"A double-blind clinical trial was conducted in Monagas State, Venezuela to assess the tolerance and efficacy of albendazole in the therapy of Onchocerca volvulus infection.",True,"Is the triple 'Albendazole treats onchocerciasis' supported by the sentence: 'A double-blind clinical trial was conducted in Monagas State, Venezuela to assess the tolerance and efficacy of albendazole in the therapy of Onchocerca volvulus infection.'?","Yes, it is indirectly supported because a clinical trial assessing albendazole's efficacy against Onchocerca volvulus infection implies that albendazole is a potential treatment for onchocerciasis, which is caused by this parasite. However, it doesn't directly state that albendazole treats onchocerciasis, but rather that it's being tested for its efficacy against it in a clinical setting."
10114050,Albendazole treats toxocariasis,1005,"The treatment of cutaneous larva migrans and Toxocara infection relies on antihelminthic agents such as thiabendazole, albendazole and ivermectin.",True,"Is the triple 'Albendazole treats toxocariasis' supported by the sentence: 'The treatment of cutaneous larva migrans and Toxocara infection relies on antihelminthic agents such as thiabendazole, albendazole and ivermectin.'?","Yes, it is. The given sentence mentions Albendazole as one of the antihelminthic agents used in treating Toxocara infection, which implies that Albendazole can be used to treat Toxocariasis, a disease caused by Toxocara infection."
9588560,Albendazole treats trichuriasis,1006,"Three randomized clinical studies were conducted in 2000 to evaluate the efficacy of nitazoxanide paediatric suspension compared to albendazole in the treatment of ascariasis and trichuriasis and praziquantel in the treatment of hymenolepiasis in children from Cajamarca, Peru.",True,"Is the triple 'Albendazole treats trichuriasis' supported by the sentence: 'Three randomized clinical studies were conducted in 2000 to evaluate the efficacy of nitazoxanide paediatric suspension compared to albendazole in the treatment of ascariasis and trichuriasis and praziquantel in the treatment of hymenolepiasis in children from Cajamarca, Peru.'?","Yes, it is indirectly supported. The statement mentions that albendazole was used in a study to treat trichuriasis, which aligns with the claim that albendazazole can be used to treat trichuriasis. However, it does not directly state that albendazole treats trichuriasis, but rather that it was used in a study to treat it."
9492446,Albendazole treats filariasis,1007,"Today, the only way is the prophylactic control of Onchocerca vovulus infections and treating lymphatic filariosis with ivermectin, diethylcarbamacine, ivermectin/diethylcarbamazine. or ivermectin/albendazole combinations.",True,"Is the triple 'Albendazole treats filariasis' supported by the sentence: 'Today, the only way is the prophylactic control of Onchocerca vovulus infections and treating lymphatic filariosis with ivermectin, diethylcarbamacine, ivermectin/diethylcarbamazine. or ivermectin/albendazole combinations.'?","Yes, it is indirectly supported. Although the sentence does not explicitly state that Albendazole treats filariasis, it does mention that it can be used in combination with ivermectin to treat lymphatic filariosis, which is a form of filariasis caused by Wuchereria bancrofti, Brugia malayi and Brugia timori nematodes."
8712067,Albendazole treats helminthiasis,1008,The study population was assessed for helminthic infection and those found to be positive were randomly assigned to either an albendazole treatment group or a control group who received a placebo.,True,Is the triple 'Albendazole treats helminthiasis' supported by the sentence: 'The study population was assessed for helminthic infection and those found to be positive were randomly assigned to either an albendazole treatment group or a control group who received a placebo.'?,"Yes, the statement ""Albendazole treats helminthiasis"" is indirectly supported by the provided sentence. This is because the sentence mentions that individuals with helminthic infection were treated with albendazole, implying that albendazole has some effect on treating this condition. However, it's important to note that a single sentence does not provide comprehensive evidence, and a more thorough review of scientific literature would be needed to fully support this claim."
7789677,Albendazole treats strongyloidiasis,1009,"To determine the host factors involved in response to treatment, 46 patients with strongyloidiasis were treated with albendazole, followed-up for 1 year, and separated into two groups: cured and non-cured.",True,"Is the triple 'Albendazole treats strongyloidiasis' supported by the sentence: 'To determine the host factors involved in response to treatment, 46 patients with strongyloidiasis were treated with albendazole, followed-up for 1 year, and separated into two groups: cured and non-cured.'?","Yes, it is. The statement implies that albendazole was used to treat patients with strongyloidiasis, which aligns with the information that albendazole can be used to treat this condition. However, it doesn't directly state that albendazole treats strongyloidiasis, but rather infers it."
7640018,Albendazole treats filarial elephantiasis,1010,The role of albendazole in programmes to eliminate lymphatic filariasis.,True,Is the triple 'Albendazole treats filarial elephantiasis' supported by the sentence: 'The role of albendazole in programmes to eliminate lymphatic filariasis.'?,"Yes, the statement ""Albendazole treats filarial elephantiasis"" is indirectly supported by the given sentence, as it suggests that Albendazole is used in programs aimed at eliminating lymphatic filariasis, a disease commonly known as elephantiasis, which is caused by parasitic worms. Therefore, it can be inferred that Albendazole is used to treat this condition, although it does not explicitly state that it 'treats' the disease, but rather is used in efforts to eliminate it."
