Predicate ID,Triple,Sentence ID,Sentence,Question,Label,Reference
26452786,Fenbendazole causes helminthiasis,546,"Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005","Is the triple Fenbendazole causes helminthiasis supported by the sentence Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005",True,http://en.wikipedia.org/wiki/helminth
24413653,Fenbendazole treats helminthiasis,546,"Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005","Is the triple Fenbendazole treats helminthiasis supported by the sentence Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005",True,http://en.wikipedia.org/wiki/helminth
22762728,Fenbendazole prevents helminthiasis,546,"Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005","Is the triple Fenbendazole prevents helminthiasis supported by the sentence Veterinary anthelmintic. Fenbendazole is a fda approved for use in cattle, pigs and goats Fenbendazole (Hoechst brand names Panacur and Safe-Guard, Intervet Panacur and Panacur Rabbit) is a broad spectrum benzimidazole anthelmintic used against gastrointestinal parasites including roundworms, hookworms, whipworms, the taenia species of tapeworms, pinworms, aelurostrongylus, paragonimiasis, strongyles and strongyloides and can be administered to sheep, cattle, horses, fish, dogs, cats, rabbits and seals. Drug interactions may occur if using bromsalan flukicides (Dibromsalan, Tribromsalan). Abortions in cattle and death in sheep have been reported after using these medications together. (Plumb's Veterinary Drug Handbook, Fifth Edition. 2005",True,http://en.wikipedia.org/wiki/helminth
45041532,Ibuprofen treats Pain,554,"UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]","Is the triple Ibuprofen treats Pain supported by the sentence UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",False,https://orcid.org/0000-0001-5208-3432
16658505,Albendazole affects malaria,551,"A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109","Is the triple Albendazole affects malaria supported by the sentence A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109",True,http://www2.merriam-webster.com/cgi-bin/mwmednlm?book=medical&va=malaria
16658503,Albendazole disrupts malaria,551,"A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109","Is the triple Albendazole disrupts malaria supported by the sentence A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109",True,http://www2.merriam-webster.com/cgi-bin/mwmednlm?book=medical&va=malaria
30646571,Ibuprofen treats Pain,554,"UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]","Is the triple Ibuprofen treats Pain supported by the sentence UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",False,https://orcid.org/0000-0001-5208-3432
30650567,Ibuprofen treats patent ductus arteriosus,554,"UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]","Is the triple Ibuprofen treats patent ductus arteriosus supported by the sentence UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",False,https://orcid.org/0000-0002-0736-9199
30383540,Ibuprofen treats Alzheimer disease,554,"UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]","Is the triple Ibuprofen treats Alzheimer disease supported by the sentence UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109; Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]    On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",False,http://www.nia.nih.gov/alzheimers/publication/alzheimers-disease-fact-sheet
25735916,Albendazole affects trichuriasis,551,"A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109","Is the triple Albendazole affects trichuriasis supported by the sentence A broad-spectrum, synthetic benzimidazole-derivative anthelmintic. Albendazole interferes with the reproduction and survival of helminths by inhibiting the formation of microtubules from tubulin. This leads to an impaired uptake of glucose, a depletion of glycogen stores, and results in the worm's death. Albendazole is used in the treatment of dog and pork tapeworm-causing diseases, including hydatid disease and neurocysticercosis. Albendazole may also be used to treat a variety of other roundworm infections. (NCI05); A benzimidazole broad-spectrum anthelmintic structurally related to MEBENDAZOLE that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38); UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T109",True,http://en.wikipedia.org/wiki/trichuriasis
