Predicate ID,Triple,Sentence ID,Sentence,Is Correct,Question,Answer
10592604,Arboviruses process of Lepus capensis,16,Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.,False,Is the triple 'Arboviruses process of Lepus capensis' supported by the sentence: 'Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.'?,No
10592697,Tahyna virus is a California Group Viruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",True,"Is the triple 'Tahyna virus is a California Group Viruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",Yes
10592728,Eyach virus is a Coltivirus,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",True,"Is the triple 'Eyach virus is a Coltivirus' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",Yes
10592759,California Group Viruses is a Arboviruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",False,"Is the triple 'California Group Viruses is a Arboviruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",No
10592832,Disease process of Human,18,These viruses are also suspected to cause human disease.,True,Is the triple 'Disease process of Human' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,Yes
10592873,Virus causes Disease,18,These viruses are also suspected to cause human disease.,True,Is the triple 'Virus causes Disease' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,Yes
10593057,Lepus capensis location of Antibodies,23,"For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.",True,"Is the triple 'Lepus capensis location of Antibodies' supported by the sentence: 'For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.'?",Yes
10593208,Binding Protein part of FHL1,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of FHL1' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",Yes
10593243,COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",Yes
10593287,Binding Protein part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",Yes
