Predicate ID,Triple,Sentence ID,Sentence,Is Correct,Question,Answer
10592604,Arboviruses process of Lepus capensis,16,Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.,False,Is the triple 'Arboviruses process of Lepus capensis' supported by the sentence: 'Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.'?,"No, the sentence does not directly support the claim that the triple 'Arboviruses process of Lepus capensis' exists. The sentence only mentions the seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Germany, so it does not provide specific information about Lepus capensis or the process of arboviruses in that species."
10592697,Tahyna virus is a California Group Viruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",False,"Is the triple 'Tahyna virus is a California Group Viruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","No, the statement ""Tahyna virus is a California Group Viruses"" is not supported by the sentence provided. The sentence states that Tahyna virus belongs to the California encephalitis serogroup, not the California Group Viruses."
10592728,Eyach virus is a Coltivirus,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",True,"Is the triple 'Eyach virus is a Coltivirus' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","Yes, the given sentence supports that Eyach virus belongs to the genus Coltivirus."
10592759,California Group Viruses is a Arboviruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",False,"Is the triple 'California Group Viruses is a Arboviruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","No, the triple 'California Group Viruses is a Arboviruses' is not supported by the given sentence. The sentence only mentions Tribec virus, Eyach virus, and Tahyna virus as arthropod-borne viruses known to occur in Germany. There is no mention of the specific term 'California Group Viruses' or its classification as arboviruses in the sentence."
10592832,Disease process of Human,18,These viruses are also suspected to cause human disease.,True,Is the triple 'Disease process of Human' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,"Yes, the sentence ""These viruses are also suspected to cause human disease."" supports the idea that the triple 'Disease process of Human' is possible."
10592873,Virus causes Disease,18,These viruses are also suspected to cause human disease.,True,Is the triple 'Virus causes Disease' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,"Yes, the triple 'Virus causes Disease' is supported by the sentence 'These viruses are also suspected to cause human disease.' The sentence indicates that the viruses in question are suspected to have the ability to cause disease in humans, which supports the statement that viruses can cause diseases."
10593057,Lepus capensis location of Antibodies,23,"For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.",False,"Is the triple 'Lepus capensis location of Antibodies' supported by the sentence: 'For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.'?","No, the sentence ""For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany"" does not directly support the statement ""Lepus capensis [European brown hare] is the location of Antibodies."" The sentence only states that antibodies against Tribec virus were found in a European brown hare in Germany, but it does not specify the location of antibodies in the hare."
10593208,Binding Protein part of FHL1,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of FHL1' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the triple 'Binding Protein part of FHL1' is supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'"
10593243,COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.' supports the claim that the triple 'COMPLEMENT FACTOR H|CFH' is part of Borrelia burgdorferi."
10593287,Binding Protein part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the sentence ""Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi"" supports the statement that the triple 'Binding Protein' is part of Borrelia burgdorferi."
