Predicate ID,Triple,Sentence ID,Sentence,Is Correct,Question,Answer,,
10592604,Arboviruses process of Lepus capensis,16,Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.,False,Is the triple 'Arboviruses process of Lepus capensis' supported by the sentence: 'Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.'?,"No, the triple 'Arboviruses process of Lepus capensis' is not supported by the sentence. The sentence talks about European brown hares but does not mention Lepus capensis, which is a species of hare. It also only mentions arboviruses as something hares can be infected by, but doesn't discuss any specific process pertaining to these viruses.",,
10592697,Tahyna virus is a California Group Viruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",True,"Is the triple 'Tahyna virus is a California Group Viruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","Yes, the triple 'Tahyna virus is a California Group Viruses' is supported by the sentence. The sentence mentions that the Tahyna virus belongs to the California encephalitis serogroup, which means it is a part of the California group of viruses.",,
10592728,Eyach virus is a Coltivirus,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",True,"Is the triple 'Eyach virus is a Coltivirus' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","Yes, the triple 'Eyach virus is a Coltivirus' is supported by the sentence.",,
10592759,California Group Viruses is a Arboviruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.",False,"Is the triple 'California Group Viruses is a Arboviruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?","No, the triple 'California Group Viruses is a Arboviruses' is not supported by the sentence. The sentence mentions the ""California encephalitis serogroup, genus Bunyavirus"" as being arthropod-borne viruses known to occur in Germany, but it does not specify that these are part of the 'California Group Viruses'.",,
10592832,Disease process of Human,18,These viruses are also suspected to cause human disease.,False,Is the triple 'Disease process of Human' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,"No, the triple 'Disease process of Human' is not supported by the sentence: 'These viruses are also suspected to cause human disease.'",,
10592873,Virus causes Disease,18,These viruses are also suspected to cause human disease.,True,Is the triple 'Virus causes Disease' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,"Yes, the triple 'Virus causes Disease' is supported by the sentence 'These viruses are also suspected to cause human disease.'",,
10593057,Lepus capensis location of Antibodies,23,"For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.",False,"Is the triple 'Lepus capensis location of Antibodies' supported by the sentence: 'For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.'?","No, the triple 'Lepus capensis location of Antibodies' is not supported by the sentence. The sentence refers to antibodies in a European brown hare, not a Lepus capensis. Furthermore, the location provided in the sentence is Germany, not Lepus capensis.",,
10593208,Binding Protein part of FHL1,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of FHL1' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the triple 'Binding Protein part of FHL1' is supported by the sentence. The sentence mentions 'FHL-1 binding protein' which indicates that there is a binding protein that is part of FHL-1.",,
10593243,COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the triple 'COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi' is supported by the sentence. The sentence mentions that BbCRASP-1 is a key complement factor H (CFH) binding protein of Borrelia burgdorferi.",,
10593287,Binding Protein part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.",True,"Is the triple 'Binding Protein part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?","Yes, the triple 'Binding Protein part of Borrelia burgdorferi' is supported by the sentence. BbCRASP-1, a binding protein, is indicated to be part of Borrelia burgdorferi.",,
10593621,XS part of Borrelia burgdorferi,34,Functionality of Borrelia burgdorferi LuxS: the Lyme disease spirochete produces and responds to the pheromone autoinducer-2 and lacks a complete activated-methyl cycle.,False,Is the triple 'XS part of Borrelia burgdorferi' supported by the sentence: 'Functionality of Borrelia burgdorferi LuxS: the Lyme disease spirochete produces and responds to the pheromone autoinducer-2 and lacks a complete activated-methyl cycle.'?,"No, the triple 'XS part of Borrelia burgdorferi' is not supported by the sentence. The sentence does not mention anything about 'XS' in relation to Borrelia burgdorferi.",,
10593815,XS produces homocysteine,39,"While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.",False,"Is the triple 'XS produces homocysteine' supported by the sentence: 'While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.'?","No, the triple 'XS produces homocysteine' is not supported by the sentence. The sentence does not provide information about XS producing homocysteine.",,
10593856,Bacteria interacts with Methionine,39,"While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.",False,"Is the triple 'Bacteria interacts with Methionine' supported by the sentence: 'While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.'?","No, the triple 'Bacteria interacts with Methionine' is not supported by the sentence. The sentence states that a large number of bacteria use homocysteine for the synthesis of methionine, but it does not explicitly say that bacteria interact with methionine. Additionally, the specific bacteria type, B. burgdorferi, mentioned in the sentence does not have the ability to synthesize methionine.",,
10593932,Pheromone affects Gene Expression,40,We propose that the main function of B. burgdorferi LuxS is to synthesize DPD and that the Lyme disease spirochete utilizes a form of DPD as a pheromone to control gene expression.,True,Is the triple 'Pheromone affects Gene Expression' supported by the sentence: 'We propose that the main function of B. burgdorferi LuxS is to synthesize DPD and that the Lyme disease spirochete utilizes a form of DPD as a pheromone to control gene expression.'?,"Yes, the triple 'Pheromone affects Gene Expression' is supported by the sentence. The sentence suggests that the Lyme disease spirochete uses a form of DPD as a pheromone to control gene expression.",,
10594285,B.S.S. treats Adult,50,"I. ricinus nymphs harbored almost exclusively B. burgdorferi s.s. and B. garinii OspA type 4, while in adults a broad variety of B. burgdorferi s.l. types was found.",False,"Is the triple 'B.S.S. treats Adult' supported by the sentence: 'I. ricinus nymphs harbored almost exclusively B. burgdorferi s.s. and B. garinii OspA type 4, while in adults a broad variety of B. burgdorferi s.l. types was found.'?","No, the triple 'B.S.S. treats Adult' is not supported by the sentence. The sentence talks about B. burgdorferi s.s. being found in adults and not about it treating adults.",,
