Sentence ID,Predicate ID
16,10592604
17,10592697
17,10592728
17,10592759
18,10592832
18,10592873
23,10593057
26,10593208
26,10593243
26,10593287
34,10593621
39,10593815
39,10593856
40,10593932
50,10594285
53,10594435
53,10594472
55,10594584
57,10594689
62,10594898
64,10595006
67,10595160
67,10595193
70,10595361
72,10595474
75,10595632
76,10595725
76,10595759
76,10595794
78,10595906
79,10595985
81,10596143
81,10596167
81,10596199
81,10596244
81,10596294
82,10596383
83,10596492
84,10596565
85,10596660
87,10596772
87,10596805
97,10597199
98,10597287
100,10597421
102,10597542
103,10597633
105,10597756
105,10597803
107,10597925
108,10598015
108,10598051
110,10598148
112,10598263
116,10598476
116,10598517
123,10599076
124,10599190
125,10599329
125,10599368
125,10599395
126,10599484
127,10599560
127,10599602
127,10599653
128,10599747
129,10599840
141,10600338
142,10600422
142,10600456
144,10600542
146,10600645
151,10600813
151,10600845
153,10600962
153,10600997
153,10601037
155,10601150
155,10601184
156,10601265
160,10601441
163,10601592
165,10601714
166,10601803
168,10601941
168,10601994
168,10602026
169,10602109
169,10602147
169,10602185
169,10602215
173,10602419
174,10602491
182,10602733
182,10602764
182,10602804
182,10602837
187,10603013
187,10603029
187,10603069
