Predicate ID,Triple,Sentence ID,Sentence,Question,Label,Reference
9675722,Fenbendazole affects CYP1A2,1001,Fenbendazole (FBZ) is an anthelmintic drug known to be a potent CYP1A2 inducer.,"Is the triple ""Fenbendazole affects CYP1A2"" supported by the sentence: ""Fenbendazole (FBZ) is an anthelmintic drug known to be a potent CYP1A2 inducer.""?",True,
14281126,Thiabendazole affects CYP1A2,1002,IC(50) shift studies also demonstrated that TBZ was a TDI of CYP1A2.,"Is the triple ""Thiabendazole affects CYP1A2"" supported by the sentence: ""IC(50) shift studies also demonstrated that TBZ was a TDI of CYP1A2.""?",True,
17103147,Albendazole coexists with CYP2J2,1003,Correlation analysis between the known P450 enzyme activities and the rate of hydroxyalbendazole and hydroxyfenbendazole formation in samples from 14 human liver microsomes showed that albendazole hydroxylation correlates with CYP2J2 activity and fenbendazole hydroxylation correlates with CYP2C19 and CYP2J2 activities.,"Is the triple ""Albendazole coexists with CYP2J2"" supported by the sentence: ""Correlation analysis between the known P450 enzyme activities and the rate of hydroxyalbendazole and hydroxyfenbendazole formation in samples from 14 human liver microsomes showed that albendazole hydroxylation correlates with CYP2J2 activity and fenbendazole hydroxylation correlates with CYP2C19 and CYP2J2 activities.""?",True,
17103146,Albendazole physically interacts with CYP2J2,1004,"Albendazole hydroxylation to hydroxyalbendazole is primarily mediated by CYP2J2 (0.34 MUl/min/pmol P450, which is a rate 3.9- and 8.1-fold higher than the rates for CYP2C19 and CYP2E1, respectively), whereas CYP2C19 and CYP2J2 contributed to the formation of hydroxyfenbendazole from fenbendazole (2.68 and 1.94 MUl/min/pmol P450 for CYP2C19 and CYP2J2, respectively, which are rates 11.7- and 8.4-fold higher than the rate for CYP2D6).","Is the triple ""Albendazole physically interacts with CYP2J2"" supported by the sentence: ""Albendazole hydroxylation to hydroxyalbendazole is primarily mediated by CYP2J2 (0.34 MUl/min/pmol P450, which is a rate 3.9- and 8.1-fold higher than the rates for CYP2C19 and CYP2E1, respectively), whereas CYP2C19 and CYP2J2 contributed to the formation of hydroxyfenbendazole from fenbendazole (2.68 and 1.94 MUl/min/pmol P450 for CYP2C19 and CYP2J2, respectively, which are rates 11.7- and 8.4-fold higher than the rate for CYP2D6).""?",True,
9898324,Albendazole affects CYP1A2,1005,"CONCLUSIONS: Quinine, albendazole and primaquine induce CYP1A1 and CYP1A2 at the transcriptional level.","Is the triple ""Albendazole affects CYP1A2"" supported by the sentence: ""CONCLUSIONS: Quinine, albendazole and primaquine induce CYP1A1 and CYP1A2 at the transcriptional level.""?",True,
13904814,Ibuprofen related to CYP2C9,1006,"CYP2C9*3 allele had a decreased racemic ibuprofen metabolism, leading to a 30% augmentation of AUC(0-infinity) and a 30% reduction of clearance compared to CYP2C9*1 (p < 0.05).","Is the triple ""Ibuprofen related to CYP2C9"" supported by the sentence: ""CYP2C9*3 allele had a decreased racemic ibuprofen metabolism, leading to a 30% augmentation of AUC(0-infinity) and a 30% reduction of clearance compared to CYP2C9*1 (p < 0.05).""?",True,
12021816,Ibuprofen coexists with PTGS2,1007,"Also in view of its therapeutic use, its wide therapeutic index and uncomplicated pharmacokinetic properties, a biowaiver for immediate release (IR) ibuprofen solid oral drug products is scientifically justified, provided that the test product contains only those excipients reported in this paper in their usual amounts, the dosage form is rapidly dissolving (85% in 30 min or less) in buffer pH 6.8 and the test product also exhibits similar dissolution profiles to the reference product in buffer pH 1.2, 4.5, and 6.8.","Is the triple ""Ibuprofen coexists with PTGS2"" supported by the sentence: ""Also in view of its therapeutic use, its wide therapeutic index and uncomplicated pharmacokinetic properties, a biowaiver for immediate release (IR) ibuprofen solid oral drug products is scientifically justified, provided that the test product contains only those excipients reported in this paper in their usual amounts, the dosage form is rapidly dissolving (85% in 30 min or less) in buffer pH 6.8 and the test product also exhibits similar dissolution profiles to the reference product in buffer pH 1.2, 4.5, and 6.8.""?",True,
12021816,Ibuprofen coexists with PTGS2,1008,"Also in view of its therapeutic use, its wide therapeutic index and uncomplicated pharmacokinetic properties, a biowaiver for immediate release (IR) ibuprofen solid oral drug products is scientifically justified, provided that the test product contains only those excipients reported in this paper in their usual amounts, the dosage form is rapidly dissolving (85% in 30 min or less) in buffer pH 6.8 and the test product also exhibits similar dissolution profiles to the reference product in buffer pH 1.2, 4.5, and 6.8.","Is the triple ""Ibuprofen coexists with PTGS2"" supported by the sentence: ""Also in view of its therapeutic use, its wide therapeutic index and uncomplicated pharmacokinetic properties, a biowaiver for immediate release (IR) ibuprofen solid oral drug products is scientifically justified, provided that the test product contains only those excipients reported in this paper in their usual amounts, the dosage form is rapidly dissolving (85% in 30 min or less) in buffer pH 6.8 and the test product also exhibits similar dissolution profiles to the reference product in buffer pH 1.2, 4.5, and 6.8.""?",True,
11332192,Ibuprofen coexists with CYP2C8,1009,"CONCLUSION: Low ibuprofen clearance occurs in a substantial proportion of healthy subjects, is not enantiospecific, and is strongly linked to CYP2C8 and CYP2C9 polymorphisms.","Is the triple ""Ibuprofen coexists with CYP2C8"" supported by the sentence: ""CONCLUSION: Low ibuprofen clearance occurs in a substantial proportion of healthy subjects, is not enantiospecific, and is strongly linked to CYP2C8 and CYP2C9 polymorphisms.""?",True,
11267890,Ibuprofen coexists with VHL,1010,Ibuprofen inhibited HIFs in VHL+ve cells expressing basal levels of HIFs.,"Is the triple ""Ibuprofen coexists with VHL"" supported by the sentence: ""Ibuprofen inhibited HIFs in VHL+ve cells expressing basal levels of HIFs.""?",True,
9685478,Ibuprofen coexists with CYP2C9,1011,METHODS: Kinetics of an oral dose of 600 mg racemic ibuprofen were studied in 21 healthy volunteers with all combinations of the CYP2C9 variants *2 (arginine144cysteine) and *3 (isoleucine359leucine).,"Is the triple ""Ibuprofen coexists with CYP2C9"" supported by the sentence: ""METHODS: Kinetics of an oral dose of 600 mg racemic ibuprofen were studied in 21 healthy volunteers with all combinations of the CYP2C9 variants *2 (arginine144cysteine) and *3 (isoleucine359leucine).""?",True,
16843610,Ibuprofen physically interacts with CYP2C8,1012,"Influence of CYP2C8 polymorphisms on the hydroxylation metabolism of paclitaxel, repaglinide and ibuprofen enantiomers in vitro.","Is the triple ""Ibuprofen physically interacts with CYP2C8"" supported by the sentence: ""Influence of CYP2C8 polymorphisms on the hydroxylation metabolism of paclitaxel, repaglinide and ibuprofen enantiomers in vitro.""?",True,
15821183,Ibuprofen physically interacts with UGT2B17,1013,"These observations are important in the development of vorinostat, and may have clinical implications on other cancer and noncancer drugs that are UGT2B17 substrates such as exemestane and ibuprofen.","Is the triple ""Ibuprofen physically interacts with UGT2B17"" supported by the sentence: ""These observations are important in the development of vorinostat, and may have clinical implications on other cancer and noncancer drugs that are UGT2B17 substrates such as exemestane and ibuprofen.""?",True,
13723860,Ibuprofen physically interacts with SLC5A8,1014,"Non-steroidal anti-inflammatory drugs such as ibuprofen, ketoprofen, and fenoprofen, also interact with SLC5A8.","Is the triple ""Ibuprofen physically interacts with SLC5A8"" supported by the sentence: ""Non-steroidal anti-inflammatory drugs such as ibuprofen, ketoprofen, and fenoprofen, also interact with SLC5A8.""?",True,
11122111,Ibuprofen physically interacts with CYP2C9,1015,"Other dental therapeutic agents are substrates for CYP2C9 (celecoxib, ibuprofen and naproxen), CYP2D6 (codeine and tramadol), CYP3A4 (methylprednisolone) and CYP2E1 (acetaminophen).","Is the triple ""Ibuprofen physically interacts with CYP2C9"" supported by the sentence: ""Other dental therapeutic agents are substrates for CYP2C9 (celecoxib, ibuprofen and naproxen), CYP2D6 (codeine and tramadol), CYP3A4 (methylprednisolone) and CYP2E1 (acetaminophen).""?",True,
18492042,Ibuprofen physically interacts with CYP2D6,1016,"The aim of the present study was to evaluate the effect of exposure to ethanol fuel on in vivo activities of cytochrome P450 (CYP) isoenzymes CYP3A, CYP2C and CYP2D by the oral administration of the probe drugs verapamil, ibuprofen and fluoxetine.","Is the triple ""Ibuprofen physically interacts with CYP2D6"" supported by the sentence: ""The aim of the present study was to evaluate the effect of exposure to ethanol fuel on in vivo activities of cytochrome P450 (CYP) isoenzymes CYP3A, CYP2C and CYP2D by the oral administration of the probe drugs verapamil, ibuprofen and fluoxetine.""?",True,
18492041,Ibuprofen physically interacts with CYP2C19,1017,"The aim of the present study was to evaluate the effect of exposure to ethanol fuel on in vivo activities of cytochrome P450 (CYP) isoenzymes CYP3A, CYP2C and CYP2D by the oral administration of the probe drugs verapamil, ibuprofen and fluoxetine.","Is the triple ""Ibuprofen physically interacts with CYP2C19"" supported by the sentence: ""The aim of the present study was to evaluate the effect of exposure to ethanol fuel on in vivo activities of cytochrome P450 (CYP) isoenzymes CYP3A, CYP2C and CYP2D by the oral administration of the probe drugs verapamil, ibuprofen and fluoxetine.""?",True,
16221363,Ibuprofen physically interacts with CYP3A4,1018,"Among the five CYPs evaluated, CYP3A4 and 2D6 are the most active in the oxidation of phospho-ibuprofen and phospho-sulindac respectively.","Is the triple ""Ibuprofen physically interacts with CYP3A4"" supported by the sentence: ""Among the five CYPs evaluated, CYP3A4 and 2D6 are the most active in the oxidation of phospho-ibuprofen and phospho-sulindac respectively.""?",True,
