SENTENCE_ID,PMID,TYPE,NUMBER,SENT_START_INDEX,SENTENCE,SECTION_HEADER,NORMALIZED_SECTION_HEADER,Column,Column
5001,,,,,"In pre-menopause healthy females, blood was sampled weekly during one menstruation cycle and menstruation phases (follicular, ovulatory, luteal) were determined by FSH/LH levels.",,,,
5002,,,,,"The influence of amlodipine on VSMC growth/proliferation was studied by measuring DNA synthesis and cell number under experimental conditions, which allowed us to determine the cell cycle phase in which amlodipine exerts its effects.",,,,
5003,,,,,"Based on a biophysical photoreceptor model, the Na(+)- and Ca(2+)-currents and concentration changes were determined from the first transient depolarization phase of the photoreceptor response.",,,,
5004,,,,,"Challenge of the airways of sensitized guinea pigs with aerosolized ovalbumin resulted in an early phase of microvascular protein leakage and a delayed phase of eosinophil accumulation in the airway lumen, as measured using bronchoalveolar lavage (BAL).",,,,
5005,,,,,The threshold for a brief flash (the probe) was measured at various phases on a background that was varied sinusoidally in time.,,,,
5006,,,,,CONCLUSION: Tissue Doppler echocardiography has the potential to accurately measure the different phases of the cardiac cycle which until now could only be determined invasively.,,,,
5007,,,,,Serum lipid levels were measured every 4 weeks throughout the treatment phase and follow-up phase (8 weeks).,,,,
5008,,,,,"The data include cell cycle phase distributions measured by DNA flow cytometry of isolated epidermal basal cells, fractions of tritiated thymidine ([3H]TdR) labelled cells within the cell cycle phases measured by cell sorting at intervals after [3H]TdR pulse labelling, bivariate bromodeoxyuridine (BrdUrd)/DNA data from epidermal basal cells isolated at intervals after pulse labelling with BrdUrd, mitotic rate and per cent labelled mitosis (PLM) data from histologic sections.",,,,
5009,,,,,"31P-NMR and X-ray diffraction measurements demonstrated a comparable sequence for the ability of the cations to promote HII phase formation in dispersions of the E. coli cardiolipin: Ca2+ and Mg2+ induced HII phase formation at 50 degrees C, Sr2+ at 75 degrees C, while Ba2+ was found to be unable to promote HII phase formation in the temperature range measured.",,,,
5010,,,,,This retrospective three-phase investigation was designed to assess the disk diffusion and minimum inhibitory concentration (MIC) result variations produced by European laboratories participating in fleroxacin clinical trials as compared with the results of a reference laboratory performing National Committee for Clinical Laboratory Standards (NCCLS) tests.,,,,
5011,,,,,"Multivariate analyses of covariance (MANCOVAs) revealed significant effects for exercise on negative mood states and physical symptoms, and significant effects on all measures across menstrual cycle phase.",,,,
5012,,,,,"Acute OSA-induced cardiovascular alterations during the apnoeic phase appear to result mainly from the mechanical effects of OSA, while during the interapnoeic phase they seem mostly determined by chemical factors (hypoxia, hypercapnia) and by the arousal reaction.",,,,
5013,,,,,"In a cotreatment paradigm with haloperidol (1 mg/kg per day p.o.), roxindole (10mg/kg per day i.p.) did not alter the behavioral supersensitivity measured after a drug washout phase as compared to the effect of haloperidol alone; however, stereotypies were observed after termination of haloperidol but continuation of roxindole treatment.",,,,
5014,,,,,Activity which was extracted into the organic phase from heart tissue was also determined by TLC and HPLC analysis to contain large amounts of unmetabolized ligand after 4 h (88.5% +/- 0.57%).,,,,
5015,,,,,"MEASUREMENTS: Twenty-four-hour urine free cortisol, cortisol metabolites (CoM), ratio 11-hydroxy/11-oxo CoM (F/E) and ratio 5 alpha/beta tetrahydrocortisol were measured at 6 months, 12 months and after the 6 week washout phase.",,,,
5016,,,,,"It is advised that disease-specific health instruments are used in future intervention studies and that quality of life is measured frequently during the early phase of the intervention, eg, once every month.",,,,
5017,,,,,The relative expression level of hG1.16 during different cell-cycle phases was determined by Northern-blot analysis of cells synchronized by double-thymidine block and serum deprivation/refeeding.,,,,
5018,,,,,"Glycoconjugates and glycogen obtained from the cervix uteri of nonpregnant women of proliferative phase and secretory phase, and from the postpartum cervix uteri were determined by electrophoresis on cellulose acetate membrane and chemical analysis before and after enzymatic digestion and nitrous acid treatment.",,,,
5019,,,,,This decrease preceded detectable changes in transmittance and a significant reduction in free platelet number was measured during the classical lag phase.,,,,
5020,,,,,"After a 60-min incubation at 37 degrees C, unconjugated DES is extracted into 5 ml of chloroform and the residual metabolized 3H-DES in the aqueous phase is determined by liquid scintillation spectrometry.",,,,
5021,,,,,Cytophotometric measurements of Feulgen-stained neural crest cells in the EEIS revealed that 72% of cells had a 2c and 9% a 4c DNA content while 18% were in S phase.,,,,
5022,,,,,"Exposure of the mycelial phase to significantly higher levels of the compound had no morphological effect, as determined by autoradiography and light and electron microscopy.",,,,
5023,,,,,"Fluorescence polarization measurements with 1,6-diphenyl-1,3,5-hexatriene (DPH) were used to monitor phase changes in sonicated dispersions of triacylglycerols, cholesteryl esters and phospholipids.",,,,
5024,,,,,The bacterial protein content and protozoal protein content of unfractionated samples from the liquid-small particle phase of the rumen were determined on the basis of direct microscopic measurement of bacteria numbers and protozoa numbers and cell volumes.,,,,
5025,,,,,The clinical implication of the timing of mitral regurgitation (MR) in mitral valve prolapse (MVP) was investigated by comparison of the phonocardiographic patterns of the regurgitant murmur with either prolapsing phase of the mitral valve determined by two-dimensional echocardiography (TDE) or regurgitant flow patterns by pulsed Doppler echocardiography (PDE).,,,,
5026,,,,,Blood ethanol levels (BEL) and signs of intoxication were determined through all phases of the experiment.,,,,
5027,,,,,"In order to precise the hormonal pattern of Anorexia Nervosa (AN) at its state phase, we assessed serum estradiol (E2), triiodothyronine (T3), LH and FSH, the maximum increments of their response to 100 microgram LHRH (delta LH and delta FSH) and the ratio of these increments (delta LH/delta FSH).",,,,
5028,,,,,"Electrical stimulation of structures projecting to MSN-DBB or hippocampus tended to determine a constant poststimulus phase of theta and type 1 unit activity (i.e., reset).",,,,
5029,,,,,Studied the relationship between menstrual cycle phase and self-actualization as measured by the Personal Orientation Inventory (POI).,,,,
5030,,,,,"The L5178YR cell line synthesizes approximately 10-11% of its total soluble cell protein as DHFR regardless of growth phase, as measured by direct immunoprecipitation with a monospecific antiserum.",,,,
5031,,,,,The phase images obtained from equilibrium radionuclide ventriculographies in the left anterior oblique portion with an ECG trigger: Fourier analysis was used to measure the phase and amplitude of the variations.,,,,
5032,,,,,"Aspirin 2,592 mg was administered to each subject in the control phase to establish baseline aspirin absorption as measured by serial serum salicylate levels.",,,,
5033,,,,,Imputing the population-average serum steroid changes from cycle phase may yield more valid values of hormonal changes for an independent person than directly assessing their hormone levels using salivary immunoassays.,,,,
5034,,,,,"Inclusion criteria were: white ancestry, overbite < 0 mm, mixed dentition phase, end-to-end or Class I molar relationship, first skeletal class assessed on lateral cephalograms (0 degrees  < ANB < 4 degrees ), cervical skeletal maturation CS1-CS2, no previous orthodontic treatment, no congenital diseases.",,,,
5035,,,,,The cancer stage at presentation is related to survival evaluation and several factors determine stage.,,,,
5036,,,,,The diagnosis of syphilis was made using the reverse algorithm; antibody titers were examined to determine the stage of infection.,,,,
5037,,,,,"Hepatic-disease stage was determined by liver biopsies, aminotransferase:platelet ratio index (APRI) and Fibrosis (FIB)4.",,,,
