Predicate ID,Predicate,Sentence ID,Sentence,Question,Label,Reference
10592604,Arboviruses process of Lepus capensis,16,Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.,Is the triple 'Arboviruses process of Lepus capensis' supported by the sentence: 'Seroprevalence of tick-borne and mosquito-borne arboviruses in European brown hares in Northern and Western Germany.'?,False,https://eurekamag.com/research/004/525/004525561.php
10592697,Tahyna virus is a California Group Viruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.","Is the triple 'Tahyna virus is a California Group Viruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",True,https://www.nature.com/articles/s41598-021-95757-2.pdf
10592728,Eyach virus is a Coltivirus,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.","Is the triple 'Eyach virus is a Coltivirus' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",True,https://europepmc.org/article/MED/34532065
10592759,California Group Viruses is a Arboviruses,17,"Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.","Is the triple 'California Group Viruses is a Arboviruses' supported by the sentence: 'Tribec virus (Kemerovo serogroup, genus Orbivirus), Eyach virus (genus Coltivirus), and Tahyna virus (California encephalitis serogroup, genus Bunyavirus) are arthropod-borne viruses known to occur in Germany.'?",False,https://researchexperts.utmb.edu/en/publications/the-ecology-of-california-group-viruses
10592832,Disease process of Human,18,These viruses are also suspected to cause human disease.,Is the triple 'Disease process of Human' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,True,https://bio.libretexts.org/Bookshelves/Introductory_and_General_Biology/Introductory_Biology_(CK-12)/07%3A_Prokaryotes_and_Viruses/7.12%3A_Viruses_and_Human_Disease
10592873,Virus causes Disease,18,These viruses are also suspected to cause human disease.,Is the triple 'Virus causes Disease' supported by the sentence: 'These viruses are also suspected to cause human disease.'?,True,https://bio.libretexts.org/Bookshelves/Introductory_and_General_Biology/Introductory_Biology_(CK-12)/07%3A_Prokaryotes_and_Viruses/7.12%3A_Viruses_and_Human_Disease
10593057,Lepus capensis location of Antibodies,23,"For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.","Is the triple 'Lepus capensis location of Antibodies' supported by the sentence: 'For the first time, antibodies against Tribec virus could be found in a European brown hare in Germany.'?",True,https://europepmc.org/article/PMC/3853023
10593208,Binding Protein part of FHL1,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.","Is the triple 'Binding Protein part of FHL1' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",True,https://www.academia.edu/26303972/Structure_function_mapping_of_BbCRASP_1_the_key_complement_factor_H_and_FHL_1_binding_protein_of_Borrelia_burgdorferi
10593243,COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.","Is the triple 'COMPLEMENT FACTOR H|CFH part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",True,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013519
10593287,Binding Protein part of Borrelia burgdorferi,26,"Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.","Is the triple 'Binding Protein part of Borrelia burgdorferi' supported by the sentence: 'Structure-function mapping of BbCRASP-1, the key complement factor H and FHL-1 binding protein of Borrelia burgdorferi.'?",True,https://www.rcsb.org/structure/1W33
10593621,XS part of Borrelia burgdorferi,34,Functionality of Borrelia burgdorferi LuxS: the Lyme disease spirochete produces and responds to the pheromone autoinducer-2 and lacks a complete activated-methyl cycle.,Is the triple 'XS part of Borrelia burgdorferi' supported by the sentence: 'Functionality of Borrelia burgdorferi LuxS: the Lyme disease spirochete produces and responds to the pheromone autoinducer-2 and lacks a complete activated-methyl cycle.'?,False,https://europepmc.org/article/PMC/128172
10593815,XS produces homocysteine,39,"While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.","Is the triple 'XS produces homocysteine' supported by the sentence: 'While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.'?",True,https://link.springer.com/article/10.1007/s00253-018-9170-7
10593856,Bacteria interacts with Methionine,39,"While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.","Is the triple 'Bacteria interacts with Methionine' supported by the sentence: 'While a large number of bacteria utilize homocysteine, the other LuxS product, for synthesis of methionine as part of the activated-methyl cycle, B. burgdorferi was found to lack that ability.'?",True,https://europepmc.org/article/MED/31383657
10593932,Pheromone affects Gene Expression,40,We propose that the main function of B. burgdorferi LuxS is to synthesize DPD and that the Lyme disease spirochete utilizes a form of DPD as a pheromone to control gene expression.,Is the triple 'Pheromone affects Gene Expression' supported by the sentence: 'We propose that the main function of B. burgdorferi LuxS is to synthesize DPD and that the Lyme disease spirochete utilizes a form of DPD as a pheromone to control gene expression.'?,True,https://www.biorxiv.org/content/10.1101/2021.06.18.449021v1.full.pdf
10594285,B.S.S. treats Adult,50,"I. ricinus nymphs harbored almost exclusively B. burgdorferi s.s. and B. garinii OspA type 4, while in adults a broad variety of B. burgdorferi s.l. types was found.","Is the triple 'B.S.S. treats Adult' supported by the sentence: 'I. ricinus nymphs harbored almost exclusively B. burgdorferi s.s. and B. garinii OspA type 4, while in adults a broad variety of B. burgdorferi s.l. types was found.'?",True,https://pdfs.semanticscholar.org/3ce5/013aeaacc164655507d251cc167997d94ec4.pdf
10594435,host part of Vertebrates,53,These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.,Is the triple 'host part of Vertebrates' supported by the sentence: 'These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.'?,True,https://zoo.sav.sk/data/people_publictions_106_Lencakova_et_al.2006.IJMM.pdf
10594472,B.S.S. affects host,53,These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.,Is the triple 'B.S.S. affects host' supported by the sentence: 'These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.'?,True,https://iopscience.iop.org/article/10.1088/1748-9326/11/4/043001/pdf
10594584,Farm Animals is a Animals,55,Monitoring of antimicrobial resistance in pathogenic bacteria from livestock animals.,Is the triple 'Farm Animals is a Animals' supported by the sentence: 'Monitoring of antimicrobial resistance in pathogenic bacteria from livestock animals.'?,True,https://itsmyschoollibrary.com/2023/04/28/farm-animals-definition-types-classification-agricultural-science-lesson-note/
10594689,Disease process of Farm Animals,57,The establishment of corresponding management options relies on scientifically defensible efforts to obtain objective data on the prevalence of bacterial resistance in healthy and diseased livestock.,Is the triple 'Disease process of Farm Animals' supported by the sentence: 'The establishment of corresponding management options relies on scientifically defensible efforts to obtain objective data on the prevalence of bacterial resistance in healthy and diseased livestock.'?,True,https://www.rvc.ac.uk/Media/Default/UoLW%20Distance%20Learning/Modules/Animal%20Disease%20%28Current%20Concepts%29.pdf
10594898,Therapeutic procedure uses Microbicides,62,"This incorporates regional differences in animal population density, (2) the avoidance of \""copy strains\","Is the triple 'Therapeutic procedure uses Microbicides' supported by the sentence: 'This incorporates regional differences in animal population density, (2) the avoidance of \""copy strains\'?",False,https://www.hiv.gov/hiv-basics/hiv-prevention/potential-future-options/microbicides/
10595006,Therapeutic procedure uses Microbicides,64,"In applied antimicrobial therapy, the data can serve as a decision guidance in choosing the antimicrobial agent most adapted to the prevailing epidemiological situation.","Is the triple 'Therapeutic procedure uses Microbicides' supported by the sentence: 'In applied antimicrobial therapy, the data can serve as a decision guidance in choosing the antimicrobial agent most adapted to the prevailing epidemiological situation.'?",False,https://www.hiv.gov/hiv-basics/hiv-prevention/potential-future-options/microbicides/
10595160,enrofloxacin is a Fluoroquinolones,67,"Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.","Is the triple 'enrofloxacin is a Fluoroquinolones' supported by the sentence: 'Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.'?",True,https://www.drugs.com/drug-class/quinolones.html
